fipsst,Name,abbrev
9,Connecticut,CT
23,Maine,ME
25,Massachusetts,MA
33,New Hampshire,NH
44,Rhode Island,RI
50,Vermont,VT
34,New Jersey,NJ
36,New York,NY
42,Pennsylvania,PA
17,Illinois,IL
18,Indiana,IN
26,Michigan,MI
39,Ohio,OH
55,Wisconsin,WI
19,Iowa,IA
20,Kansas,KS
27,Minnesota,MN
29,Missouri,MO
31,Nebraska,NE
38,North Dakota,ND
46,South Dakota,SD
10,Delaware,DE
11,District of Columbia,DC
12,Florida,FL
13,Georgia,GA
24,Maryland,MD
37,North Carolina,NC
45,South Carolina,SC
51,Virginia,VA
54,West Virginia,WV
1,Alabama,AL
21,Kentucky,KY
28,Mississippi,MS
47,Tennessee,TN
5,Arkansas,AR
22,Louisiana,LA
40,Oklahoma,OK
48,Texas,TX
4,Arizona,AZ
8,Colorado,CO
16,Idaho,ID
30,Montana,MT
32,Nevada,NV
35,New Mexico,NM
49,Utah,UT
56,Wyoming,WY
2,Alaska,AK
6,California,CA
15,Hawaii,HI
41,Oregon,OR
53,Washington,WA
