Effect,Subject,Estimate,Std Err Pred,DF,t Value,Pr > |t|,Subject
Intercept,FIPSST 1,-0.00597,0.1005,1.10E+05,-0.06,0.9526,1
Intercept,FIPSST 10,-0.00602,0.1025,1.10E+05,-0.06,0.9531,10
Intercept,FIPSST 12,-0.01943,0.09872,1.10E+05,-0.2,0.8439,12
Intercept,FIPSST 13,0.002411,0.09662,1.10E+05,0.02,0.9801,13
Intercept,FIPSST 16,0.004471,0.1022,1.10E+05,0.04,0.9651,16
Intercept,FIPSST 17,-0.02239,0.102,1.10E+05,-0.22,0.8263,17
Intercept,FIPSST 18,0.01713,0.1025,1.10E+05,0.17,0.8672,18
Intercept,FIPSST 19,0.01759,0.1053,1.10E+05,0.17,0.8674,19
Intercept,FIPSST 2,0.000773,0.1022,1.10E+05,0.01,0.994,2
Intercept,FIPSST 20,-0.00589,0.1015,1.10E+05,-0.06,0.9537,20
Intercept,FIPSST 21,0.05134,0.1305,1.10E+05,0.39,0.6939,21
Intercept,FIPSST 22,0.004731,0.1001,1.10E+05,0.05,0.9623,22
Intercept,FIPSST 23,0.009089,0.103,1.10E+05,0.09,0.9297,23
Intercept,FIPSST 24,0.02051,0.1042,1.10E+05,0.2,0.844,24
Intercept,FIPSST 25,-0.01197,0.1019,1.10E+05,-0.12,0.9066,25
Intercept,FIPSST 26,0.006685,0.09901,1.10E+05,0.07,0.9462,26
Intercept,FIPSST 27,-0.00119,0.1001,1.10E+05,-0.01,0.9905,27
Intercept,FIPSST 28,0.00571,0.1017,1.10E+05,0.06,0.9552,28
Intercept,FIPSST 29,-0.03438,0.1139,1.10E+05,-0.3,0.7627,29
Intercept,FIPSST 30,-0.00597,0.1026,1.10E+05,-0.06,0.9536,30
Intercept,FIPSST 31,-0.01675,0.1055,1.10E+05,-0.16,0.8738,31
Intercept,FIPSST 32,-0.00867,0.1023,1.10E+05,-0.08,0.9325,32
Intercept,FIPSST 33,-0.00344,0.102,1.10E+05,-0.03,0.9731,33
Intercept,FIPSST 34,-0.01885,0.102,1.10E+05,-0.18,0.8534,34
Intercept,FIPSST 35,-0.01662,0.1053,1.10E+05,-0.16,0.8746,35
Intercept,FIPSST 36,0.004512,0.0958,1.10E+05,0.05,0.9624,36
Intercept,FIPSST 37,-0.01321,0.1,1.10E+05,-0.13,0.8949,37
Intercept,FIPSST 38,-0.00093,0.1023,1.10E+05,-0.01,0.9928,38
Intercept,FIPSST 39,-0.02157,0.1027,1.10E+05,-0.21,0.8337,39
Intercept,FIPSST 4,0.00211,0.09979,1.10E+05,0.02,0.9831,4
Intercept,FIPSST 40,0.03049,0.1122,1.10E+05,0.27,0.7858,40
Intercept,FIPSST 41,0.009539,0.1022,1.10E+05,0.09,0.9256,41
Intercept,FIPSST 42,0.07521,0.1472,1.10E+05,0.51,0.6095,42
Intercept,FIPSST 44,-0.00395,0.1022,1.10E+05,-0.04,0.9691,44
Intercept,FIPSST 45,0.004782,0.1003,1.10E+05,0.05,0.962,45
Intercept,FIPSST 46,-0.00283,0.1022,1.10E+05,-0.03,0.9779,46
Intercept,FIPSST 47,0.002078,0.09912,1.10E+05,0.02,0.9833,47
Intercept,FIPSST 48,0.06481,0.1192,1.10E+05,0.54,0.5866,48
Intercept,FIPSST 49,-0.01367,0.1034,1.10E+05,-0.13,0.8949,49
Intercept,FIPSST 5,0.005814,0.1013,1.10E+05,0.06,0.9542,5
Intercept,FIPSST 50,-0.00271,0.1023,1.10E+05,-0.03,0.9789,50
Intercept,FIPSST 51,-0.05087,0.1267,1.10E+05,-0.4,0.688,51
Intercept,FIPSST 53,0.04029,0.1192,1.10E+05,0.34,0.7352,53
Intercept,FIPSST 54,-0.00643,0.1021,1.10E+05,-0.06,0.9498,54
Intercept,FIPSST 55,0.01375,0.1022,1.10E+05,0.13,0.8929,55
Intercept,FIPSST 56,0.000538,0.1023,1.10E+05,0.01,0.9958,56
Intercept,FIPSST 6,-0.0971,0.1488,1.10E+05,-0.65,0.514,6
Intercept,FIPSST 8,0.001507,0.09986,1.10E+05,0.02,0.988,8
Intercept,FIPSST 9,0.008891,0.1017,1.10E+05,0.09,0.9304,9
