Effect,gender,year2,age,Row,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47
Intercept,,,,1,1.9185,-0.01343,-0.01328,-0.01191,-0.01249,,-0.03915,,-0.03927,-0.03824,-0.03728,-0.03927,-0.03857,-0.03718,-0.03623,-0.03761,-0.04049,-0.03736,-0.03957,,0.03963,,0.03995,,0.04054,,0.03873,,0.03793,,0.03819,,0.0387,,0.03824,,0.04171,,0.03771,,0.04157,,,,-0.0635,-0.2676,0.009195
year2,,2,,2,-0.01343,0.03769,0.01197,0.01196,0.01196,,0.000028,,0.000222,-0.00005,-0.00034,-0.00003,-0.00024,-0.00006,-4.37E-06,0.000195,0.000106,-0.00014,-0.00016,,-0.00042,,0.000139,,0.000252,,-0.00016,,0.000342,,-0.00011,,0.000142,,-0.00018,,0.000026,,-4.77E-07,,8.82E-06,,,,0.000052,0.000267,-9.26E-06
year2,,3,,3,-0.01328,0.01197,0.03119,0.01196,0.01196,,0.000114,,0.000281,-0.00004,-0.00029,-0.00006,-0.00018,3.15E-06,-0.00027,0.00005,0.000055,-0.00008,-0.00023,,-0.00054,,0.000131,,0.000093,,-0.00021,,-0.00005,,-0.00025,,0.000233,,-0.00009,,0.000023,,-0.00018,,0.000065,,,,0.000049,0.000179,-6.54E-06
year2,,4,,4,-0.01191,0.01196,0.01196,0.02334,0.01197,,-7.40E-07,,0.000157,0.000028,-0.00029,-8.11E-06,-0.00024,-0.00022,-0.00021,-0.0002,-0.00008,-0.00011,-0.00018,,-0.00021,,0.000059,,0.000203,,-0.00002,,0.000131,,-0.00004,,0.000063,,0.000128,,0.000197,,0.00009,,0.000202,,,,1.92E-06,0.00007,-2.48E-06
year2,,5,,5,-0.01249,0.01196,0.01196,0.01197,0.02386,,0.000013,,0.00016,-0.00002,-0.00023,-0.00011,-0.00037,-0.00035,-0.00027,-0.00018,-0.00004,-0.00014,-0.00014,,-0.00021,,0.000101,,0.000044,,-7.00E-06,,0.000055,,-0.00012,,0.000152,,-0.00002,,0.00017,,-0.00005,,0.000229,,,,0.00002,0.000176,-5.67E-06
year2,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender,female,,,7,-0.03915,0.000028,0.000114,-7.40E-07,0.000013,,0.1842,,0.03939,0.0394,0.03936,0.03935,0.03937,0.03937,0.03936,0.03937,0.03936,0.03935,0.03937,,-0.1843,,-0.1843,,-0.1842,,-0.1842,,-0.1842,,-0.1842,,-0.1842,,-0.1842,,-0.1842,,-0.1842,,-0.1842,,,,-0.00002,-0.00035,0.000015
gender,male,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,,,6,9,-0.03927,0.000222,0.000281,0.000157,0.00016,,0.03939,,0.1637,0.03941,0.03938,0.03936,0.03938,0.03938,0.03937,0.03939,0.03937,0.03936,0.03939,,-0.1637,,-0.03945,,-0.0394,,-0.03938,,-0.03939,,-0.03937,,-0.03937,,-0.0394,,-0.03937,,-0.03938,,-0.0394,,,,-0.00003,-0.00039,0.000018
age,,,7,10,-0.03824,-0.00005,-0.00004,0.000028,-0.00002,,0.0394,,0.03941,0.0773,0.03937,0.03934,0.03938,0.03938,0.03936,0.03939,0.03936,0.03935,0.03939,,-0.03949,,-0.07737,,-0.03941,,-0.03939,,-0.0394,,-0.03936,,-0.03937,,-0.0394,,-0.03938,,-0.03938,,-0.03941,,,,-0.00005,-0.00036,0.000015
